year,month,day,time,foF2,foF2_
2016,9,1,0,5.9,5.9
2016,9,1,1,6.2,6.2
2016,9,1,2,5.9,5.9
2016,9,1,3,5.9,5.9
2016,9,1,4,6.3,6.3
2016,9,1,5,5.4,5.4
2016,9,1,6,4.8,4.8
2016,9,1,7,6.0,6.0
2016,9,1,8,2.6,2.6
2016,9,1,9,2.1,2.4
2016,9,1,10,2.5,2.5
2016,9,1,11,5.3,5.2
2016,9,1,12,6.4,6.4
2016,9,1,13,8.0,8.0
2016,9,1,14,9.7,9.7
2016,9,1,15,10.4,10.4
2016,9,1,16,11.5,11.5
2016,9,1,17,12.7,12.7
2016,9,1,18,14.6,14.6
2016,9,1,19,11.7,11.7
2016,9,1,20,8.9,8.9
2016,9,1,21,7.7,7.5
2016,9,1,22,6.8,6.9
2016,9,1,23,6.6,6.6
2016,9,2,0,5.4,5.4
2016,9,2,1,5.2,5.2
2016,9,2,2,5.9,6.0
2016,9,2,3,6.0,6.0
2016,9,2,4,5.3,5.5
2016,9,2,5,C,5.8
2016,9,2,6,6.6,6.6
2016,9,2,7,4.9,5.0
2016,9,2,8,3.6,3.7
2016,9,2,9,4.8,4.8
2016,9,2,10,3.1,3.1
2016,9,2,11,5.0,5.0
2016,9,2,12,6.6,6.6
2016,9,2,13,7.3,7.3
2016,9,2,14,9.6,9.6
2016,9,2,15,10.3,10.1
2016,9,2,16,10.1,10.1
2016,9,2,17,10.1,10.1
2016,9,2,18,11.5,11.5
2016,9,2,19,9.9,9.9
2016,9,2,20,8.6,8.6
2016,9,2,21,8.6,8.6
2016,9,2,22,7.1,7.1
2016,9,2,23,6.0,5.8
2016,9,3,0,C,C
2016,9,3,1,C,C
2016,9,3,2,C,C
2016,9,3,3,C,C
2016,9,3,4,C,C
2016,9,3,5,C,C
2016,9,3,6,C,C
2016,9,3,7,C,C
2016,9,3,8,C,C
2016,9,3,9,C,C
2016,9,3,10,C,C
2016,9,3,11,C,C
2016,9,3,12,C,C
2016,9,3,13,C,C
2016,9,3,14,C,C
2016,9,3,15,C,C
2016,9,3,16,C,C
2016,9,3,17,C,C
2016,9,3,18,C,C
2016,9,3,19,C,C
2016,9,3,20,C,C
2016,9,3,21,C,C
2016,9,3,22,C,C
2016,9,3,23,C,C
2016,9,4,0,C,C
2016,9,4,1,C,C
2016,9,4,2,C,C
2016,9,4,3,C,C
2016,9,4,4,C,C
2016,9,4,5,C,C
2016,9,4,6,C,C
2016,9,4,7,C,C
2016,9,4,8,C,C
2016,9,4,9,C,C
2016,9,4,10,C,C
2016,9,4,11,C,C
2016,9,4,12,C,C
2016,9,4,13,C,C
2016,9,4,14,C,C
2016,9,4,15,C,C
2016,9,4,16,C,C
2016,9,4,17,C,C
2016,9,4,18,C,C
2016,9,4,19,C,C
2016,9,4,20,C,C
2016,9,4,21,C,C
2016,9,4,22,12.4,12.4
2016,9,4,23,9.4,9.4
2016,9,5,0,8.9,8.9
2016,9,5,1,7.5,7.5
2016,9,5,2,7.5,7.5
2016,9,5,3,8.1,8.1
2016,9,5,4,7.3,7.3
2016,9,5,5,5.8,5.8
2016,9,5,6,6.3,6.1
2016,9,5,7,6.1,6.1
2016,9,5,8,4.8,4.9
2016,9,5,9,3.9,3.8
2016,9,5,10,2.4,2.4
2016,9,5,11,4.9,4.9
2016,9,5,12,5.4,5.4
2016,9,5,13,6.6,6.8
2016,9,5,14,8.4,8.4
2016,9,5,15,9.8,9.8
2016,9,5,16,9.8,9.8
2016,9,5,17,10.6,10.6
2016,9,5,18,11.9,11.9
2016,9,5,19,13.8,13.8
2016,9,5,20,13.1,13.1
2016,9,5,21,13.1,13.1
2016,9,5,22,11.3,11.3
2016,9,5,23,11.8,11.8
2016,9,6,0,10.0,9.8
2016,9,6,1,8.7,8.7
2016,9,6,2,8.3,8.3
2016,9,6,3,7.4,7.4
2016,9,6,4,7.0,7.0
2016,9,6,5,7.8,7.5
2016,9,6,6,7.0,6.7
2016,9,6,7,7.6,7.6
2016,9,6,8,3.7,3.7
2016,9,6,9,2.4,2.4
2016,9,6,10,2.4,2.4
2016,9,6,11,5.3,5.3
2016,9,6,12,6.4,6.4
2016,9,6,13,6.5,6.5
2016,9,6,14,6.0,6.0
2016,9,6,15,8.6,8.1
2016,9,6,16,10.7,10.7
2016,9,6,17,13.4,13.4
2016,9,6,18,14.1,14.1
2016,9,6,19,14.8,14.8
2016,9,6,20,13.0,13.0
2016,9,6,21,11.2,11.2
2016,9,6,22,10.8,10.8
2016,9,6,23,7.6,7.6
2016,9,7,0,5.2,5.2
2016,9,7,1,5.2,5.2
2016,9,7,2,6.0,6.0
2016,9,7,3,4.8,5.0
2016,9,7,4,4.5,4.5
2016,9,7,5,5.2,5.0
2016,9,7,6,6.4,6.4
2016,9,7,7,6.9,6.9
2016,9,7,8,5.1,5.3
2016,9,7,9,3.0,3.0
2016,9,7,10,2.6,2.6
2016,9,7,11,5.6,5.6
2016,9,7,12,6.8,6.8
2016,9,7,13,6.5,6.5
2016,9,7,14,6.9,7.1
2016,9,7,15,7.0,7.0
2016,9,7,16,8.6,8.3
2016,9,7,17,9.1,9.1
2016,9,7,18,9.4,9.2
2016,9,7,19,9.6,9.6
2016,9,7,20,10.3,10.3
2016,9,7,21,11.8,11.8
2016,9,7,22,9.9,9.9
2016,9,7,23,7.5,7.5
2016,9,8,0,7.6,7.4
2016,9,8,1,7.0,7.0
2016,9,8,2,5.7,6.0
2016,9,8,3,4.4,4.4
2016,9,8,4,4.3,4.3
2016,9,8,5,4.8,4.8
2016,9,8,6,5.3,5.3
2016,9,8,7,5.4,5.4
2016,9,8,8,4.7,4.7
2016,9,8,9,4.9,4.9
2016,9,8,10,4.3,4.3
2016,9,8,11,5.9,6.0
2016,9,8,12,6.1,6.1
2016,9,8,13,6.8,6.8
2016,9,8,14,8.3,8.3
2016,9,8,15,9.3,8.9
2016,9,8,16,10.9,10.9
2016,9,8,17,9.3,9.3
2016,9,8,18,8.8,8.8
2016,9,8,19,9.4,9.4
2016,9,8,20,9.4,9.4
2016,9,8,21,10.9,10.9
2016,9,8,22,9.6,9.6
2016,9,8,23,10.4,10.1
2016,9,9,0,8.9,8.7
2016,9,9,1,7.3,7.9
2016,9,9,2,8.5,8.5
2016,9,9,3,6.7,6.9
2016,9,9,4,5.3,5.3
2016,9,9,5,4.5,4.5
2016,9,9,6,4.3,4.3
2016,9,9,7,4.4,4.4
2016,9,9,8,3.8,3.9
2016,9,9,9,3.7,3.7
2016,9,9,10,3.8,3.8
2016,9,9,11,5.5,5.5
2016,9,9,12,6.1,6.1
2016,9,9,13,7.0,7.0
2016,9,9,14,8.9,8.9
2016,9,9,15,7.4,7.4
2016,9,9,16,6.9,6.9
2016,9,9,17,7.8,7.8
2016,9,9,18,8.9,8.9
2016,9,9,19,10.3,10.3
2016,9,9,20,8.1,8.4
2016,9,9,21,7.0,7.0
2016,9,9,22,7.3,7.3
2016,9,9,23,5.4,5.4
2016,9,10,0,4.8,4.8
2016,9,10,1,3.9,3.9
2016,9,10,2,3.8,3.8
2016,9,10,3,4.0,4.0
2016,9,10,4,4.0,3.8
2016,9,10,5,3.9,3.7
2016,9,10,6,4.0,4.0
2016,9,10,7,3.0,3.0
2016,9,10,8,2.3,2.4
2016,9,10,9,2.6,2.8
2016,9,10,10,2.9,2.9
2016,9,10,11,5.8,5.8
2016,9,10,12,6.0,6.0
2016,9,10,13,7.0,7.0
2016,9,10,14,7.0,7.0
2016,9,10,15,8.3,8.3
2016,9,10,16,9.6,9.6
2016,9,10,17,10.1,9.8
2016,9,10,18,10.8,10.8
2016,9,10,19,11.2,10.9
2016,9,10,20,11.6,11.6
2016,9,10,21,11.0,10.6
2016,9,10,22,9.6,9.6
2016,9,10,23,9.3,9.3
2016,9,11,0,8.4,8.2
2016,9,11,1,5.8,5.9
2016,9,11,2,5.2,5.2
2016,9,11,3,4.1,4.1
2016,9,11,4,3.9,3.8
2016,9,11,5,4.0,4.0
2016,9,11,6,4.1,4.1
2016,9,11,7,4.0,4.0
2016,9,11,8,3.9,3.9
2016,9,11,9,3.9,3.9
2016,9,11,10,3.9,3.9
2016,9,11,11,5.5,5.5
2016,9,11,12,6.0,6.0
2016,9,11,13,6.3,6.3
2016,9,11,14,7.1,7.1
2016,9,11,15,8.9,8.9
2016,9,11,16,9.4,9.4
2016,9,11,17,10.6,10.6
2016,9,11,18,10.9,10.9
2016,9,11,19,11.9,11.9
2016,9,11,20,12.5,12.5
2016,9,11,21,12.6,12.6
2016,9,11,22,10.7,10.7
2016,9,11,23,8.8,9.0
2016,9,12,0,6.7,6.7
2016,9,12,1,5.8,5.8
2016,9,12,2,5.9,5.9
2016,9,12,3,5.7,5.7
2016,9,12,4,5.5,5.5
2016,9,12,5,5.4,5.4
2016,9,12,6,5.8,5.8
2016,9,12,7,7.0,6.8
2016,9,12,8,3.8,3.8
2016,9,12,9,2.4,2.4
2016,9,12,10,2.9,2.9
2016,9,12,11,5.0,5.0
2016,9,12,12,6.3,6.5
2016,9,12,13,6.3,6.3
2016,9,12,14,7.4,7.4
2016,9,12,15,8.4,8.4
2016,9,12,16,9.0,9.0
2016,9,12,17,8.8,8.9
2016,9,12,18,9.2,9.2
2016,9,12,19,9.8,9.8
2016,9,12,20,9.4,9.4
